country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,,,,,,,,,,,,3.09,2.43,2.37,2.43,2.22,2.08,1.65,2.26,1.81,2.06,2.3,1.84,2.09,1.29,1.34,2.07,1.95,3.04,1.71,1.3,1.73,1.49,1.92,3.64,2.85,2.75,2.62,2.44,2.62,2,1.51,0.96,1.02,1.68,2.07,1.87,2.18,1.59,1.44,2.41,2.84,2.92,2.55,2.22,2.03
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,74.4,73,75.6,71.9,72.7,70.7,75.8,75.7,76.7,76.1,76,71,71.9,74.9,67.8,68.8,68.4,72.4,70.7,69.8,73.3,71.1,71.1,73.1,73.2,74.7,74.1,76.5,76.7,77.3,78.7,80.4,81.1,80.4,81.1,80.2,82.2,83,84,82.7,83,83.3,77.1,77.5,77.7,79.5,79.6,77.1,75.8,74.9,71.3,68,68.6,63.7,61.2,62.9
Austria,13.9,17.4,16.7,17.7,16.8,12,12.5,12.5,13,15.6,9.72,13.1,11.5,10.3,10,8.01,10.4,6.66,6.65,5.91,7.02,10.3,9.02,10.1,11.3,10.9,9.34,9.92,8.27,9.77,14.2,15.5,10.2,7.28,7.5,9.38,11.6,12.3,9.18,9.1,11.3,13.2,12.9,16.4,14.7,13.2,14,12.9,10.8,7.59,9.87,11.8,9.09,9.46,7.97,8.23
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.616,0.935,2.39,3.21,2.94,1.89,1.87,1.93,2.31,1.97,1.69
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,85.4,83.3,83.6,79.2,74.3,72.4,69.1,63.3,58,46.9,33.6,26.9,25.6,21.7,26.1,21.5,22.5,25.4,26.6,28.2,29.4,34.9,37.7,32.1,33.8,26.5,24.2,24.2,25.1,26.4,28.2,27,25.9,26.7,27.5,26.2,24.2,20.9,20.6,15,19.4,16.2,15.6,13.9,13.6,12.2,10.9,9.52,8.66,6.86,6.35,6.12,6.7,6.28,6.16,6.11
Benin,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.8,62.7,47.8,28.9,17.6,16.4,29.3,46.5,49.3,45.1,50.7,50.4,49.9,58.8,52,51.3,54.8,64.7,67.2,59.6,52.5,70.7,69.5,58.1,62.8,64
Botswana,,,,,,,,,,,,,,,,,,,,,,78.2,82,86,88.8,95.3,91.6,94.5,84.2,86.9,88.1,96.5,97.3,97.1,97.5,98,97.2,96.9,97.9,97.6,97.6,97.9,97.5,97.2,94.8,99.4,99.4,99.3,100,100,100,91.4,71.4,82.3,95.7,96.4
Brazil,,,,,,,,,,,,3.3,3.47,2.16,1.84,2.06,1.67,1.77,2.71,2.4,2.47,3.17,3.07,2.43,2.71,2.55,3.06,2.7,2.26,2.53,2.13,2.43,2.11,1.99,1.93,2,2.09,2.4,2.19,2.94,3.15,3.4,2.66,2.5,2.73,2.67,2.5,2.27,2.61,2.1,2.2,2.33,2.59,3.81,4.53,4.72
Brunei,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,,,,,,,,,,,,81.5,81.4,77.3,70.2,64.9,52.8,47,45.9,47.3,49.2,45.8,47,45.1,45.6,36.4,42.1,44.2,36.6,38.3,50.3,51.4,50.6,45.8,45,42,40.7,45,44.8,43.4,42.3,45.4,41.2,46,46.1,42.4,42.2,52.3,52.1,49.8,49.1,55,49.1,45,45.4,46.2
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21,3.1,3.21,2.58,9.51,28.2,48.4
Cameroon,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,3.38,4.05,7.1,10.9,11.9,13.4,12.4,13.6,15.1,15.1,17.9,18.8,17.2,12.9,12.3,13.1,13.7,15,14.6,14.7,16,16.3,17.9,18.1,19.2,17.3,15.3,17,18.1,18.4,17.1,17.4,17.3,15.5,15.6,15.6,15.7,17.3,19,18.6,19.4,20,19.6,19.1,16.9,16.2,15.2,16.1,14.9,12.9,13.2,11.8,10.1,9.8,9.92,9.84
Chile,,,,,,,,,,,,16.1,9.56,14,11.4,9.18,10.7,10.8,11.6,14.5,16.1,16.1,9.62,10.8,15.6,12.3,10.8,9.84,17.8,30.4,35.5,21.3,11.6,11.9,18.6,22.8,30.9,28.2,31.9,33.3,21.1,11.4,11.6,10.4,15.1,13.7,19.2,22.7,23.6,24.5,27.9,29.9,36.3,41.4,36.3,37.1
China,,,,,,,,,,,,70.1,63.6,57.9,56.8,55.8,50.6,56.6,60.6,56.5,53,52.7,54.3,54.9,58.3,63.5,66.7,68.3,68.5,69.3,71,73.5,75,73.5,74.8,73.7,76.2,76.4,75.6,77.7,78.2,76.3,77.5,79.6,78.2,79.2,80.3,81,78.8,78.4,77.2,78.9,75.7,75.3,72.6,70.3
